TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSRNOT00000071335	ENSRNOE00000543348	11_0	ENSRNOT00000078807	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE43013						2.481382900041452e-07																																																							
ENSRNOT00000078807	ENSRNOE00000543348	11_0	ENSRNOT00000078807	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE41637						2.9249095188497087e-07						1.0879816961440982e-08																							1.7616669809040143e-08																		1.2220915478215367e-08								
ENSRNOT00000078807	ENSRNOE00000543348	11_0	ENSRNOT00000078807	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE43013						2.481382900041452e-07																																																							
ENSRNOT00000071335	ENSRNOE00000533829	24_0	ENSRNOT00000071335	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE41637						1.418377048629881e-07						1.0879816961440982e-08																							3.823706960371161e-08	3.1407062301953936e-08																	1.1719306529724539e-08				1.5600836376438977e-07				
ENSRNOT00000071335	ENSRNOE00000533829	24_0	ENSRNOT00000071335	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE43013						2.8160651016691476e-07																													6.346554496816282e-08																										
ENSRNOT00000078807	ENSRNOE00000533829	24_0	ENSRNOT00000071335	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE41637						1.418377048629881e-07						1.0879816961440982e-08																							3.823706960371161e-08	3.1407062301953936e-08																	1.1719306529724539e-08				1.5600836376438977e-07				
ENSRNOT00000078807	ENSRNOE00000533829	24_0	ENSRNOT00000071335	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE43013						2.8160651016691476e-07																													6.346554496816282e-08																										
ENSRNOT00000071335	ENSRNOE00000533829	24_0	ENSRNOT00000078807	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE41637						1.418377048629881e-07						1.0879816961440982e-08																							3.823706960371161e-08	3.1407062301953936e-08																	1.1719306529724539e-08				1.5600836376438977e-07				
ENSRNOT00000071335	ENSRNOE00000533829	24_0	ENSRNOT00000078807	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE43013						2.8160651016691476e-07																													6.346554496816282e-08																										
ENSRNOT00000078807	ENSRNOE00000533829	24_0	ENSRNOT00000078807	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE41637						1.418377048629881e-07						1.0879816961440982e-08																							3.823706960371161e-08	3.1407062301953936e-08																	1.1719306529724539e-08				1.5600836376438977e-07				
