,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow,brown adipose tissue,cerebral cortex,embryonic stem cell,female gonad,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,blastula,embryo,gastrula,mesonephros,bone marrow macrophage,temporal lobe,egg cell
41,"3_0,3_1,3_2,31_0",,0.9278278590396588,1.0,0.43268001449828397,,0.22472707219189775,0.48651398007323854,,0.28766662540337984,homo_sapiens,0.1909537635057996,0.9221037619937283,0.9825666542336948,,0.9567426456794189,,,,,,0.3762168751008503,,,,,,0.13843476052805131,0.23076923076923067,0.42222397859781996,,,0.517379024206234,0.655224740935918,,0.46754538174465937,,0.4883090556669821,,,,,,1.0,
42,"3_0,31_0",1.0,0.04094739699159634,,1.0,1.0,,,,0.8951180711252384,ornithorhynchus_anatinus,,,0.021418839380585235,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
43,"3_0,3_1,3_2,31_0",,0.9590526030084036,,,,,,,0.10488192887476154,ornithorhynchus_anatinus,,,0.9785811606194148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"3_0,31_0",1.0,,,0.8679245283018867,1.0,1.0,,,,sus_scrofa,1.0,0.06598449132849289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"3_0,3_1,3_2,31_0",,,,0.1320754716981132,,,,,,sus_scrofa,,0.9340155086715072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"26_0,44_0",0.12266555737081529,,,,0.3272550381584525,,,,0.016515089509138464,gorilla_gorilla,,0.016974739232048418,,,0.008733624454148471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"26_0,15_0,44_0",0.8773344426291847,,,1.0,0.6727449618415475,,,,0.9834849104908616,gorilla_gorilla,,0.9830252607679515,1.0,,0.9912663755458515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"26_0,44_0",0.14622857327527974,0.025003221884903514,,0.16608148235468462,,0.11388005838304685,,,0.03626671265720384,homo_sapiens,,,0.014150688163044597,,,,,,,,,,,,,,0.031923360718441894,1.0,0.09332461823741195,,,0.01163562223232003,0.16852287693436918,,0.058471462606260814,0.10837371018809598,0.06529030644376181,,,,,,,
49,"26_0,15_0,44_0",0.8537714267247202,0.9749967781150964,1.0,0.8339185176453154,1.0,0.8861199416169533,1.0,,0.9637332873427961,homo_sapiens,1.0,1.0,0.9858493118369553,1.0,1.0,,,,,,1.0,,,,1.0,1.0,0.9680766392815581,,0.906675381762588,,,0.98836437776768,0.8314771230656308,1.0,0.9415285373937392,0.891626289811904,0.9347096935562382,,,,,,1.0,
50,"26_0,15_0,44_0",1.0,1.0,,1.0,1.0,,,,1.0,monodelphis_domestica,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
51,"26_0,15_0,44_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mus_musculus,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,
52,"26_0,44_0",,,,,,,,,0.03367573336533509,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"26_0,15_0,44_0",1.0,1.0,,1.0,1.0,,,,0.9663242666346649,ornithorhynchus_anatinus,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
54,"26_0,15_0,44_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"26_0,15_0,44_0",1.0,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"26_0,15_0,44_0",,1.0,,1.0,,,,,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0
