Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
homo_sapiens	7_1,20_0,17_0			9.404881660255047e-08			5.637498293448731e-08			1.0587066931685295e-07	2.146749876435487e-06	4.703442836066924e-07	1.5325714921047055e-07				6.39985705279287e-08		9.712324381973408e-08	7.755331882680852e-08		8.994470918836775e-08			1.0167655875098963e-07				
gorilla_gorilla	7_1,14_0,17_0																					5.896143793876295e-07							
homo_sapiens	7_1,14_0,17_0					7.584513121799935e-07				5.579840279726456e-07																			
gorilla_gorilla	7_1,20_0,17_0									9.745990572573373e-08	2.078704921617473e-07																		
homo_sapiens	7_1,20_0,17_0			9.404881660255047e-08			5.637498293448731e-08			1.0587066931685295e-07	2.146749876435487e-06	4.703442836066924e-07	1.5325714921047055e-07				6.39985705279287e-08		9.712324381973408e-08	7.755331882680852e-08		8.994470918836775e-08			1.0167655875098963e-07				
gorilla_gorilla	7_1,19_0,17_0						1.7761676040639415e-06			6.497327048382249e-07	2.711538052911573e-07																0.0		
homo_sapiens	7_1,19_0,17_0	2.1971808060964212e-08	2.5449279614347073e-07	3.7894184619229877e-07		7.55899256983492e-07	1.046600561891921e-06	6.718616547741431e-08	1.6568890108503047e-08		2.9195840640063796e-06	1.751045518020621e-06	3.285969644105213e-07	1.8599138065239152e-07			3.8648959218445245e-08	9.561075196507497e-08	3.107020975471607e-06	1.4735307342526672e-06	0.0		6.910711827195715e-07	2.7628627825424917e-06	5.8374524400398e-07		1.0252292681567067e-07	2.963980495326237e-08	3.791174622192398e-07
gorilla_gorilla	7_1,20_0,19_0									9.745990572573373e-08																			
homo_sapiens	7_1,20_0,19_0						5.810668300759496e-08			7.134792383337745e-08	1.1421931829811448e-06	3.007912902054175e-07	1.3022541581181307e-07						4.812868756390673e-08	1.080924717469452e-07					7.203887030817563e-08				
gorilla_gorilla	7_1,14_0,19_0						5.707840881895657e-07			7.634359281849141e-07												1.1798649704900218e-06							
homo_sapiens	7_1,14_0,19_0					1.1611697749789694e-06	3.093250760161373e-07			1.1781816315213267e-06									1.1689755713494029e-07	8.52364346437515e-08		1.3287623862897196e-06		1.2134277349155937e-07					
gorilla_gorilla	7_1,20_0,19_0,17_0									4.872995286286688e-07																			
homo_sapiens	7_1,20_0,19_0,17_0						5.915678225833742e-07			2.3024323824374787e-06	1.935041927240026e-06	8.139679963335786e-07	1.9447458139417683e-07						1.6338970023863515e-06	6.19884357084e-07					2.449367704409593e-07				
gorilla_gorilla	7_1,14_0,17_0																					5.896143793876295e-07							
homo_sapiens	7_1,14_0,17_0					7.584513121799935e-07				5.579840279726456e-07																			
