Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
monodelphis_domestica	10_1,22_0					4.724284374289607e-07				4.1520712514967286e-07		2.594215640175391e-07						1.2345922391111624e-06				4.768995577042741e-08					2.0699653063195484e-07						3.493666426804201e-07							5.931274246666044e-07				
ornithorhynchus_anatinus	10_1,22_0					3.0716403661869376e-07				2.467157828372152e-07		6.512769078801832e-07						1.4288534618706032e-06				6.148315820631575e-07					1.5976571954885357e-07													4.301982340382364e-07				
mus_musculus	10_1,7_1,14_0	3.0233468871807474e-06				9.000431474057209e-07			2.1308905272289454e-07	1.0473757412583547e-06	1.1703728331185381e-07	6.539181265392213e-07	2.2883641143404902e-07	4.485090613327268e-07			3.098806992118932e-07	2.052918063929452e-06	5.288969946212068e-07			2.556905437629923e-07					3.9803868308474705e-07	1.3219956589719027e-06					1.7637369281715287e-06			1.4402413114620844e-07	6.966714206878735e-07			3.1844955994871574e-07		3.434280686296885e-06		6.608397496583415e-07
monodelphis_domestica	10_1,7_1,14_0									1.0552012446912698e-07								2.573274385353089e-07																						1.3689890344114382e-07				
bos_taurus	10_1,7_1,14_0					8.524863040204164e-07				2.3207029931236675e-06				3.6542864123774384e-07								3.055367202380947e-07					5.603184044960021e-07	9.649773609171864e-07						1.0031054204286738e-06		1.0010661987993641e-07	1.7414793362355575e-06			2.1857425003595484e-07				
gorilla_gorilla	10_1,7_1,14_0					1.7164368673192084e-06						1.429289971045908e-06								1.2020055039507158e-06		2.2019566512952727e-07					3.947919090785985e-07							1.7306789841769814e-06						1.0562617819107285e-06				
sus_scrofa	10_1,7_1,14_0					9.495181781701958e-07																1.2244080599234304e-06			1.231265850349134e-06		1.5453375181648756e-06	3.0579406165133205e-06						2.2512447116845507e-06										
ornithorhynchus_anatinus	10_1,7_1,14_0					1.5588797648218438e-07				2.7896748957375594e-07		8.190686376433202e-07						1.2382031900670058e-06				1.8348065396902447e-07					1.51650247836118e-07													1.7643625764504644e-07				
homo_sapiens	10_1,7_1,14_0		1.8341755276472789e-06	7.056255792328638e-07	1.2205762325008734e-06	1.1317269287199153e-06				1.4689192800064096e-06		6.2366354880589e-07		1.1545632667091399e-06				9.527865448077267e-07		7.693637016158155e-07		8.74702329822668e-07	3.5146976527082804e-07	2.07084868827832e-06	1.6392849511659522e-06	1.3472621271930462e-06	3.212995642692047e-07	1.504223237895073e-06	7.476964369575964e-07		9.937891037863164e-07	1.3772402982304682e-07	6.446359095693137e-07	1.2950573577528623e-06	1.2557711606993107e-06	2.103047932534647e-07		1.5655305512304714e-06	2.1708021895579206e-07	1.1538926245394708e-06	1.1949580160458276e-06		1.704321831100189e-06	
monodelphis_domestica	10_1,22_0,14_0					2.769356559857531e-07				3.9088576666824004e-07		2.809635645421299e-07						1.019798935508556e-06				8.618265702821668e-08					2.282540760614775e-07						2.7979118780863357e-07							6.495034437590309e-07				
ornithorhynchus_anatinus	10_1,22_0,14_0					7.173444373623906e-07				5.930724343423372e-07		1.5223969359306542e-06						2.215469078164697e-06				8.913907600674306e-07					3.5566746998697114e-07													1.275517206626432e-06				
monodelphis_domestica	15_0,4_0,4_1					5.253961884227135e-07				2.567274653079354e-06		6.063874667171158e-07						4.825498800628352e-06				8.228428649007046e-08					6.493329858018948e-07						1.1948011762847056e-06							2.208792290727675e-06				
bos_taurus	15_0,4_0,4_1					4.7591039109623593e-07				7.094347773194658e-07				8.890960750841956e-07								2.090458239490931e-07					7.483782563216201e-07	1.2569874042677059e-06						5.919785698885892e-07		1.1111052080870049e-07	1.194395488396515e-06			4.455510841059506e-07				
gorilla_gorilla	15_0,4_0,4_1					7.833422041497307e-07						9.054195542512274e-07								7.796792458058699e-07		1.938878709034568e-07					4.6569958048054133e-07							2.123964458040371e-06						1.1644187636262358e-06				
