TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000011714	ENSMODE00000096227	1_4	ENSMODT00000011714	ENSMODE00000096228	5_15	monodelphis_domestica	13	GSE30352												1.3778540125180117e-07		1.737123407804007e-07															2.089445844423391e-06																																
ENSMODT00000011714	ENSMODE00000096227	1_4	ENSMODT00000011714	ENSMODE00000096228	5_15	monodelphis_domestica	13	GSE43520												9.316126881735356e-08										1.4358184630728454e-07																										1.8698109047493652e-07									4.851834908166167e-08				
ENSMODT00000011714	ENSMODE00000096228	5_15	ENSMODT00000011714	ENSMODE00000096229	3_0	monodelphis_domestica	3	GSE30352																													2.4449077006370184e-06																																
ENSMODT00000011714	ENSMODE00000096228	5_15	ENSMODT00000011714	ENSMODE00000096229	3_0	monodelphis_domestica	3	GSE43520																						4.152006968064174e-08																																							
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000096230	13_0	monodelphis_domestica	3	GSE30352														1.7233600419672637e-07															5.634236100755481e-06																																
ENSMODT00000011714	ENSMODE00000096229	3_0				monodelphis_domestica	1	GSE30352																													1.2217750118420543e-07																																
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000096231	4_0	monodelphis_domestica	2	GSE30352																													4.644102721952716e-08																																
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000096232	11_0	monodelphis_domestica	12	GSE30352						1.893696245819675e-07						5.715148969268806e-07		1.8649990743678776e-06															1.393230816585815e-07																																
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000096232	11_0	monodelphis_domestica	12	GSE43520												7.918707849475052e-07										2.6872152120753027e-07																										1.4120860634448386e-07													
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000131296	2_0	monodelphis_domestica	3	GSE30352																													4.644102721952716e-08																																
ENSMODT00000011714	ENSMODE00000096229	3_0	ENSMODT00000011714	ENSMODE00000131296	2_0	monodelphis_domestica	3	GSE43520												4.658063440867678e-08																																																	
ENSMODT00000011714	ENSMODE00000096230	13_0	ENSMODT00000011714	ENSMODE00000096231	4_0	monodelphis_domestica	4	GSE30352						1.344106255362984e-07						3.426128305421522e-08																	3.012191455678547e-06																																
ENSMODT00000011714	ENSMODE00000096231	4_0				monodelphis_domestica	1	GSE30352																													6.358660769390322e-08																																
ENSMODT00000011714	ENSMODE00000096231	4_0	ENSMODT00000011714	ENSMODE00000096232	11_0	monodelphis_domestica	4	GSE30352														8.662678095958798e-08															6.184829029978969e-06																																
ENSMODT00000011714	ENSMODE00000096231	4_0	ENSMODT00000011714	ENSMODE00000131296	2_0	monodelphis_domestica	2	GSE30352																													6.192136962603622e-08																																
ENSMODT00000011714	ENSMODE00000096232	11_0	ENSMODT00000011714	ENSMODE00000131296	2_0	monodelphis_domestica	13	GSE30352						5.131498747002334e-07						1.3386576025641948e-06		2.817893664923345e-06															1.289090775525137e-05																												1.2472355025086896e-07				
ENSMODT00000011714	ENSMODE00000096232	11_0	ENSMODT00000011714	ENSMODE00000131296	2_0	monodelphis_domestica	13	GSE43520												7.918707849475052e-07										1.649213470059259e-07																										9.413907089632257e-08													
			ENSMODT00000011714	ENSMODE00000096210	5_4	monodelphis_domestica	1	GSE43520																																																6.605336557089858e-08													
			ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	4	GSE30352												3.426128305421522e-08		8.616800209836318e-08															3.179330384695161e-08																																
			ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	4	GSE43520																																																									2.4259174540830836e-08				
			ENSMODT00000011714	ENSMODE00000096214	9_2	monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
			ENSMODT00000011714	ENSMODE00000253033	5_11	monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
			ENSMODT00000011714	ENSMODE00000096232	11_0	monodelphis_domestica	1	GSE30352						8.144287454254556e-08																																																							
			ENSMODT00000011714	ENSMODE00000096232	11_0	monodelphis_domestica	1	GSE30352																													1.2217750118420543e-07																																
