Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	4_2,11_0					5.58493230100001e-08							7.071024383459237e-07					9.096127406620096e-08					3.8019544200159715e-08	7.927696448714385e-08							1.3890162005340213e-07	6.843336744370862e-07			8.371325197521418e-08				
rattus_norvegicus	4_2,11_0												2.4603706863366415e-08											1.346907432825765e-08							1.0081118145514644e-07								
mus_musculus	4_2,11_0																											2.988399332630661e-08			2.774676279669233e-07						3.784435954609022e-08		4.8543428460061615e-08
mus_musculus	4_2,2_0,11_0	2.5518478369122476e-07				1.1905130290233938e-06		7.52079009610216e-08	2.0420053026826884e-07		1.5997459998178054e-07		2.665204237453739e-05	1.731686260301756e-07	9.191997480485644e-06	2.669973984895008e-06		1.1488222991648875e-06					2.2441311190113007e-07	3.987544665458786e-06				1.2005129465297272e-05			9.141764141093125e-07	3.150055084257193e-06			1.6955479161294189e-06		2.229401497785299e-06		2.4560430304054373e-06
bos_taurus	4_2,2_0,11_0					7.5894535991444274e-06			1.8154399083479359e-06				0.0009285050185814437					6.5039947790473954e-06					2.3675197602599793e-06	3.8170160210344586e-05					1.5886019122225127e-06		3.851393367793399e-06	9.022404374815612e-05			6.971168710487259e-06				
gorilla_gorilla	4_2,2_0,11_0					4.713913332579154e-06					1.088177373048219e-06						1.3157087272974055e-06	7.178311911787329e-06					2.5907695245579345e-06						3.094140076996133e-06						2.014366237562444e-06				
sus_scrofa	4_2,2_0,11_0					3.4888537760188395e-06												1.0419962469144295e-05			6.596067055441789e-06		2.2305676822366815e-06	3.186947486272475e-05					1.0069071982248835e-06										
homo_sapiens	4_2,2_0,11_0		1.69028595581097e-05	3.967506724571856e-05	9.501444765965932e-06	8.101502642552373e-06			2.432648406449123e-06		2.7260372526073136e-07		0.00020159915200947318		3.329544976159815e-05		7.754717688665917e-07	5.564133589456653e-06	2.5149846794011504e-05	1.1119235739317623e-05	1.8177488054517217e-06		3.881529010945476e-07	1.2760466515484119e-05	1.548361481858896e-05	1.8816855232164504e-05	1.4161337438202472e-06	2.4750290747191837e-05	7.980998640573884e-07	0.00012206064756247937	3.644239270531e-06		3.7513007225006324e-05		2.814474822523354e-05	1.2704774418964605e-05		7.725097026741384e-06	
rattus_norvegicus	4_2,2_0,11_0					2.196357516763401e-06			8.700220831138423e-07				0.00011191001019155656					4.34932680411391e-06					5.047543636254366e-07	9.287464809783501e-06							1.428810806788734e-06	7.76340075658426e-06			2.873043528125824e-06				
mus_musculus	4_2,2_2,11_0	2.0119537364332136e-07				1.1984594681725097e-07	4.83011486679376e-07		5.125383875805701e-07	1.5640436951675007e-06	4.99132477659702e-07		7.26524892144715e-07	5.468482927268704e-08	2.2290771841067118e-07	1.1597500363983087e-06		3.244444509839448e-07					1.2682939952235876e-07	1.3451374265324867e-07				5.668028642346499e-06			0.0005216556668269421	2.0534247850397034e-07			2.638187785108579e-07		2.691202251826144e-07		0.00011602355437273607
