Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	5_1,11_0,15_1					1.978755967668234e-06	1.1402244735684797e-07				1.4659297604582433e-06					2.242921546434279e-07					5.638633092628997e-06	5.875288715125777e-06					6.110826174817921e-07		1.7010163505098307e-07	5.04993244074416e-07		5.758215290787504e-07				
gorilla_gorilla	5_1,11_0,15_1					7.795312632111442e-07			2.0345081980354254e-07						3.0862303479815704e-07	1.8156269793567702e-07					3.3532134595231912e-06						4.910272102989764e-07					2.7085990505618264e-07				
sus_scrofa	5_1,11_0,15_1					3.3756050276783794e-07										9.370469846352784e-07			9.234493877618513e-07		7.870845403924204e-06	4.969153501834143e-06														
homo_sapiens	5_1,11_0,15_1		3.0191035078943242e-06	1.2196950131656065e-06	5.169658504310034e-07	8.702889327750259e-07	3.45970930487202e-07		6.157008315381028e-08		1.2207566926051706e-06		1.917862308112921e-06			9.502211980492568e-07	6.579828777948465e-07	3.036374745498542e-06	2.8240943588209535e-06	1.1532700172809482e-07	4.042166511628652e-06	5.605922758494877e-06	1.1168241344640111e-06	1.5041229291719102e-06	2.0840565905741721e-07	1.349374281959365e-06	3.5930856528200764e-07	7.229721394934106e-07	3.6046730095606234e-07		2.623054960812682e-06	7.042239547228235e-07	9.810285801621491e-07		6.991297197566672e-07	
rattus_norvegicus	5_1,11_0,15_1					2.3583900980241642e-07	3.3799557521086104e-07				3.9349981810498407e-07					3.860757593698636e-07					1.2646141294731925e-06	2.205093927997795e-06							8.354714570495763e-08	3.178702468286251e-07		6.519873560438831e-08				
sus_scrofa	5_1,11_3,15_1																				9.113356204882941e-07															
mus_musculus	5_1,11_3,15_1																				1.2517189780268836e-06	2.7620831787412863e-06														
monodelphis_domestica	25_0,20_1,20_2,18_0					2.3009106185324032e-07	2.413975745490184e-07		1.1580822718693382e-07				2.3968938775102123e-07			1.7974574561575907e-07					1.3311903313141533e-06					7.084530886837289e-07						1.0194520461056119e-07				
bos_taurus	25_0,20_1,20_2,18_0					1.2424877285163173e-06	4.45226650758715e-07				9.970381174841082e-07					1.587767133822704e-07					4.086333442255215e-06	3.4072917178394134e-06					6.31352558096882e-07		1.0128932353288396e-07	4.510557732248262e-07		1.9148980329016432e-07				
gorilla_gorilla	25_0,20_1,20_2,18_0					2.6896786743629105e-07									1.0828878413970408e-07						7.913383753736328e-07						1.942053501750797e-07					1.1071894862443615e-07				
sus_scrofa	25_0,20_1,20_2,18_0					3.5618155278871443e-07										1.0494926227915106e-06			1.3485292646680997e-06		6.399828205962271e-06	4.491350280503938e-06					5.492781101857103e-07									
homo_sapiens	25_0,20_1,20_2,18_0		1.424657194254953e-06	5.546039858010403e-07	6.718010864897807e-07	4.488493020959738e-07	3.054930100916569e-07		5.3690459937606965e-08		6.374574751394023e-07		4.677039764595664e-07		1.993134557299303e-07	9.917524742556961e-07	1.606253178520682e-07	3.344226253235371e-06	3.035396526959841e-06		1.1211979823112501e-06	4.25363310444416e-06	5.221625956877996e-07	5.45731844340134e-07	1.473402676516767e-07	5.370841271046867e-07	2.248666753801197e-07	3.1257967478161426e-07	6.956335750840426e-08		2.8287461834339083e-06	2.576473097242614e-07	4.4700435279926196e-07		4.985643291269425e-07	
rattus_norvegicus	25_0,20_1,20_2,18_0					2.5705396211957306e-07	4.558813539856886e-07				4.0154003720412976e-07					3.2904904412533e-07					1.5100364141542137e-06	2.2415638442500043e-06							1.2927174552218117e-07	1.619546232365436e-07		4.29772355852463e-08				
homo_sapiens	25_0,18_0															4.0117248274496975e-08						1.6518723601531056e-07		2.320348900654656e-08												
rattus_norvegicus	25_0,18_0						7.388815956239749e-08														5.84087312175043e-08	3.1407062301953936e-08														
mus_musculus	11_0,11_3,15_1	2.0278507136936237e-07				3.70179586279679e-07	4.5191299021944683e-07		1.3831653293315582e-07		3.436597593603888e-07	2.2785345530286267e-07	2.560963804004669e-06	2.676346237842251e-07		5.157771299833011e-07					2.3709849106195533e-06	4.580997862943078e-06				3.0207640221303305e-06			1.572397282379403e-07	2.2249673594161884e-07		1.1493668736868413e-07		3.151877707687426e-07		1.3167224010872508e-07
monodelphis_domestica	11_0,11_3,15_1					3.2378025011826593e-07	2.0877546089418356e-07		1.5171156139458513e-07				4.438780191690364e-07			1.6789904911587493e-07					1.289605061065653e-06					4.592177637539658e-07						2.3287079220799024e-07				
bos_taurus	11_0,11_3,15_1					8.422869710401706e-07	4.027079047462855e-07				5.693506337024517e-07					2.523716616621275e-07					2.2713294443549198e-06	4.231376013468489e-06					5.839187456065321e-07		3.874393744673932e-07	7.605927305623198e-07		5.278051745508038e-07				
gorilla_gorilla	11_0,11_3,15_1					3.4586552617006165e-07			1.949999857533631e-07						1.7867649383051183e-07	1.8280578415355997e-07					1.1726160965190783e-06						5.618388337762281e-07					2.489907910735382e-07				
sus_scrofa	11_0,11_3,15_1					2.399658136678218e-07										1.199420140333156e-06			7.475542662834029e-07		1.9778391230617335e-06	2.6756980394491535e-06					4.1384632140511125e-07									
homo_sapiens	11_0,11_3,15_1		1.5969307659880817e-06	7.75578068928092e-07	3.117699714715482e-07	2.6305750206578626e-07	2.761591404747032e-07		4.8060495282189665e-08		9.449909165015793e-08		5.99496255999472e-07		1.200866399931842e-07	5.054110121479842e-07	2.2340176560325215e-07	1.6910943199719267e-06	1.3475400948520694e-06		5.564454946216756e-07	1.7791151160600197e-06	1.5574442681677537e-07	3.3745610587071817e-07	1.2260717510551419e-07	6.977736535658548e-07	2.498208346440046e-07	2.2945696637476522e-07			1.5553230577689054e-06	3.305311721582229e-07	6.932441682225023e-07		4.34794558024102e-07	
rattus_norvegicus	11_0,11_3,15_1					1.4845668787696708e-07	2.582419338337649e-07				2.1977368887549315e-07					2.3280679392616977e-07					8.498967972074793e-07	1.1701725137142999e-06							1.1750246300372732e-07	1.8743728835372943e-07		2.998622154956349e-08				
gorilla_gorilla	11_0,15_1					3.732378652677909e-07			8.18225414719597e-08						1.6243317620955625e-07	9.611521130647309e-08					2.402798059203643e-06						1.3229784107122088e-07					5.0235540494360535e-08				
sus_scrofa	11_0,15_1					2.342272538400388e-07										3.9980671344438506e-07			6.156329251745675e-07		6.7120224826954686e-06	4.013547059173732e-06														
mus_musculus	11_0,15_1	8.716750373468295e-08				1.1709987740887392e-07	7.296553687170332e-08	4.255901211340138e-08			9.597235071036064e-08	7.291310569691606e-08	2.5355119365129986e-07	2.5489011788973816e-08		2.1247069739292488e-07					5.977033836765626e-07	2.2503391467072655e-06				1.1610917266111758e-06			6.384783540077568e-08	4.7775094320024916e-08		2.183467946679625e-08		1.707893061923408e-07		1.8599143399735323e-07
monodelphis_domestica	11_0,15_1					1.0792675003942196e-07	0.0						8.188120764464242e-08			6.233767914300297e-08					1.80396066329229e-06					1.2589342514514416e-06										
homo_sapiens	11_0,15_1		3.012096168065997e-06	1.3840019986222072e-06	2.106678109955849e-07	6.684847360007934e-07	1.751306824948957e-07		5.8711614382492186e-08		1.1036565907357754e-06		1.2515564513434284e-06			4.88280111458162e-07	4.3497049938044823e-07	1.6853640588537572e-06	1.3800881207247273e-06	1.1124582541297073e-07	2.665395348116175e-06	3.565340007364138e-06	7.653364442692633e-07	9.861082713466715e-07	1.535211681774682e-07	7.632398371440495e-07	2.3718440761563555e-07	3.400452792351827e-07	3.600636207739993e-07		1.1159069773946172e-06	3.200673145437909e-07	9.967512120764028e-07		6.40002598418599e-07	
bos_taurus	11_0,15_1					1.7306213021173382e-06	4.5910430473755755e-08				1.0705999825756507e-06					6.32541538356259e-08					4.8398661167061844e-06	4.3640522220282985e-06					2.5586125687953357e-07		7.556691907363219e-08	2.658072255377278e-07		2.5198641217209256e-07				
rattus_norvegicus	11_0,15_1					5.042487184955423e-08	3.19282288195245e-08				1.6894309269980596e-07					8.804442023359736e-08					1.2508348435051985e-07	7.727092077448656e-07							1.7690098729679318e-08	5.374009728074209e-08		1.0834347229604325e-08				
mus_musculus	11_1,11_3,15_1	2.724109625008405e-07				2.2149209142572789e-07	9.426368536007802e-07		2.6809651790057643e-07	8.858183668414799e-08	2.1672580866709114e-07		3.030387137069335e-06	2.2940110610076438e-07		3.813634568873451e-07					1.2754463500765096e-06	2.8444485043397987e-06				1.8744836539842774e-06			1.3855164282541953e-07	1.8657169400072698e-07		1.2868637175951185e-07		1.8977835544620487e-07		8.025357529097279e-08
monodelphis_domestica	11_1,11_3,15_1					2.2297228096604214e-07	5.176253863526352e-07		1.2971078200876956e-07				3.7136276369249356e-07			9.496360202388808e-08					1.4104107476878956e-06					3.989440626227473e-07						2.2082024253977462e-07				
bos_taurus	11_1,11_3,15_1					6.743401594370488e-07	5.676459200540128e-07				5.395585417951124e-07					2.2204014587385238e-07					1.6293546199255265e-06	2.3767220590991263e-06					9.615707395221307e-07		2.469006493001121e-07	4.791814291340274e-07		8.49768099904499e-07				
gorilla_gorilla	11_1,11_3,15_1					2.595896916744756e-07			1.4808631435847808e-07						2.111631290724231e-07	1.2242300553254349e-07					1.5416067954412258e-06						8.69261372846218e-07					5.176637847314563e-07				
sus_scrofa	11_1,11_3,15_1					1.794961469318844e-07										7.621315475033594e-07			5.716591448049551e-07		9.104889773222347e-07	1.8156522410547832e-06					4.016487490169252e-07									
homo_sapiens	11_1,11_3,15_1		1.0594046274957065e-06	6.926111036919699e-07	4.427004006596308e-07	4.4140074730365303e-07	4.3650057197627845e-07		3.481182607222566e-08		3.363444688793148e-08		8.013505518254912e-07		6.643296841444023e-07	5.708796351401052e-07	2.0228722713317456e-07	2.1234651256604334e-06	2.1943957736504984e-06		8.198695490843939e-07	2.105888502083457e-06		2.1115351359148847e-07	9.417166385604392e-08	6.313842416901418e-07	4.2080254593446494e-07				1.607688655842973e-06	8.798591770747987e-07	4.0940919757245373e-07		4.2784519448111423e-07	
rattus_norvegicus	11_1,11_3,15_1					9.442954568320437e-08	5.247036895271765e-07				1.295946345199096e-07					2.93569330891127e-07					5.095014148542037e-07	3.75730071814884e-07							3.7897018720170385e-08	1.307673644405562e-07		3.521824108577709e-08				
gorilla_gorilla	11_1,15_1														3.2486635241911244e-08						6.295128855691844e-08						4.4099280357073634e-08									
sus_scrofa	11_1,15_1															2.4987919590274076e-08					1.2616624926665867e-07	0.0														
mus_musculus	11_1,15_1	5.4003965395347034e-08					3.564232213606395e-08						2.8613628768668855e-08			5.1948750894882167e-08					2.106121362196283e-08	6.770590138062718e-08												3.658076515328017e-08		3.687883230995804e-08
monodelphis_domestica	11_1,15_1												0.0								1.967749578021971e-07					1.2483013684652695e-07						0.0				
homo_sapiens	11_1,15_1		1.0965908481514077e-07	1.626800404409566e-08	4.508940530185576e-08	4.3271633177018885e-08	6.557902631188531e-08				5.3550384465654645e-08		1.3220691828942635e-07			7.724941544385277e-08		1.7370363469936967e-07	1.3201945040969743e-07		2.3428782872756617e-07	4.3309626937741443e-07	8.521254935439848e-08	3.525958530401541e-08	9.452528847723993e-08	7.330573695602097e-08	5.9296101903908886e-08				1.5669324924932136e-07	4.745269338091215e-08	1.7183939322754365e-07		1.3916990966188908e-08	
