Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	6_0,20_0,8_0		1.805579627779875e-06	1.279988239886621e-06	3.2427076142894513e-06	1.5139376524184055e-06				1.1200876588133248e-06		2.9806514670530267e-07		7.737990991685457e-07				7.510587731728173e-07		4.0689546146771764e-07		1.0323037221590438e-06	1.691949733965447e-05	1.329240629413531e-06	1.975344223088033e-06	2.501460655556684e-06	4.494852940769434e-07	1.6221296640071806e-06	9.783678176552595e-07		7.984400609983798e-07	1.4510799587256983e-06	2.375190323435471e-06	1.5060893357141354e-06	1.3898085353852657e-06	2.25369485645572e-06		2.017679452940495e-06	2.1708021895579204e-07	1.0670602329782964e-06	9.381016556421344e-07		1.568658565000168e-06	
rattus_norvegicus	6_0,20_0,8_0					1.7437545137982203e-06				1.2175920655394604e-06				2.6656051604440066e-06								1.470347974456709e-06					8.498650460633466e-07	2.737470243563503e-06								7.130391435106732e-07	2.8068032376215364e-06			3.2186561520260865e-06				
sus_scrofa	6_0,8_0					1.5615150256002587e-07																			8.794756073922386e-08			9.556064426604119e-08																
rattus_norvegicus	6_0,8_0					3.0859880530717434e-08				6.973959482300438e-08				3.912674882481581e-08								3.459215930657942e-08						1.17838817024269e-07								1.7690098729679318e-08	1.553606385773639e-07			3.250304168881298e-08				
bos_taurus	6_0,8_0					8.565714074939006e-08				8.032339591467442e-08				6.880022272925436e-08													1.2673181400053236e-08	5.831926278757985e-08						9.603351800258733e-08		5.768682078816121e-08	1.2911956121454462e-08			1.0980844003043254e-07				
mus_musculus	6_0,8_0	8.057566986909185e-08				3.450469090744849e-08				6.185266724815825e-08				2.9965952485643094e-08				8.584088630600656e-08	2.5489011788973823e-08			3.513211742524552e-08					3.26870852944863e-08	1.0552708857655234e-07					7.477808208314285e-08			3.051447677744675e-08	6.864886283906427e-08			4.170165978060528e-08		1.3562763826290003e-07		4.667841307985547e-08
homo_sapiens	6_0,20_0,3_0																					4.4034109512056263e-07	1.1958321804072691e-05		5.159126389586402e-07							6.921517466162143e-07								6.146041869724948e-07				
mus_musculus	6_0,20_0,3_0																	1.7942916651842408e-07				4.572097609337117e-07					3.1024943620719975e-07	2.2714811582642707e-06					8.024475833899933e-07									3.408996480577638e-06		
bos_taurus	6_0,8_0,3_0					3.103679760117667e-06				1.2831621912373804e-06				6.10202446259487e-06													9.419325599445884e-07	3.2871715263619028e-06						1.6893686687870193e-06		2.714640901305179e-06	4.1812845159985866e-06			1.1195993603128726e-05				
rattus_norvegicus	6_0,8_0,3_0					1.507180366773026e-06				1.3046701639230898e-06				2.5976347427390137e-06								1.1538219078370556e-06						3.4013546137495612e-06								7.560794568298399e-07	3.158598443861179e-06			3.000798892335513e-06				
sus_scrofa	6_0,8_0,3_0					1.711888796304798e-06																			1.9788201166325372e-06			1.098947409059474e-05																
mus_musculus	6_0,8_0,3_0	7.181121392861053e-07				1.1818594943405834e-06				4.78932449871954e-07				1.1918176148000994e-06				7.818195189811394e-07	2.357733590480079e-07			9.718985853571517e-07					5.237683793587213e-07	1.3853759853544667e-06					2.6786217742834673e-06			5.067803666930059e-07	1.1700469395538534e-06			1.8402773504444388e-06		3.0198157599234255e-06		5.137098877333513e-07
bos_taurus	16_0,18_2,22_0									8.31977621728837e-08												8.87771745697372e-07												1.1355981940848357e-07		1.516238400748691e-06				2.4401875562318342e-08				
sus_scrofa	16_0,18_2,22_0																					1.0245047032012374e-06												7.60104306969774e-08										
gorilla_gorilla	16_0,22_0					5.289502490800853e-06						2.687352193335513e-06								2.4364976431433433e-06		9.522475258890216e-07					1.8560133511241792e-06							4.152514256666044e-06						1.040002531564707e-05				
sus_scrofa	16_0,22_0					5.494268277717435e-06																4.347898008707691e-06			6.420171933963339e-06		2.9196875133181914e-06	1.1180595379126818e-05						3.586562330350189e-06										
mus_musculus	16_0,22_0	1.6863238903857916e-06				3.2082007013640776e-06		3.997336441484489e-07	9.77702712493281e-07	1.6231424872620375e-06	2.3407456662370757e-07	7.270855743931729e-07	2.0669095226301203e-07	5.120524673233355e-06			8.749572683629924e-07	8.034266053072946e-06	9.940714597699788e-07			1.6029127543526014e-06					1.5332993129112421e-06	4.796003920903447e-06					2.3226391964915492e-05			5.007394779210388e-07	4.187483354704349e-06			1.216979847307222e-05		1.0473509193348857e-05		1.7642532351731525e-06
homo_sapiens	16_0,22_0		2.5214591065343563e-06	3.7784512841771178e-06	5.19536474593051e-06	6.161962078705136e-06				3.170362184861481e-06		2.0405388231503213e-06		1.89608933885609e-06				4.624332880828732e-06		3.896785051295792e-06		2.2701765911325757e-06	5.692348973244357e-06	2.870739865446297e-06	4.080515324990742e-06	4.199277650055436e-06	1.137200000375671e-06	3.2443197192770307e-06	3.1689593833574193e-06		9.324846189035243e-06	1.0780143209402432e-06	8.02538731256213e-06	5.11359975966152e-06	3.837062368014205e-06	2.692521854654253e-06		4.161211218793739e-06	1.3024813137347527e-06	6.035965258678652e-06	1.647566814103662e-06		2.031252403584241e-06	
bos_taurus	16_0,22_0					7.703496701355522e-06				3.631938592489888e-06				1.6207623993818658e-05								5.171906891623047e-06					2.679248450056744e-06	7.838754538613277e-06						7.889917376858298e-06		1.8390569211981363e-06	1.0727479628250777e-05			3.344482796104736e-05				
rattus_norvegicus	16_0,22_0					4.1472167369306135e-06				2.9696927063328443e-06				9.399641108840396e-06								2.223049906089766e-06					1.9323788444126595e-06	9.4806480840986e-06								1.2135892552636674e-06	7.197969501402859e-06			7.089686619266734e-06				
mus_musculus	16_0,22_0,1_0,12_1	1.021223033556878e-06				2.5512456415077565e-06		2.3317795908659528e-07	6.685146752090809e-07	1.0366816521384025e-06	1.0639753028350345e-07	5.189872515557749e-07	9.350304983326736e-08	2.5451106753143804e-06			4.557069106057252e-07	5.008741982385893e-06	3.9083151409759847e-07			8.302106732721298e-07					1.0062516246040917e-06	3.4306104353345345e-06					1.3974641031903886e-05			3.013790239445088e-07	3.690838285933592e-06			8.636250999940567e-06		8.02586913853953e-06		1.5280786946411834e-06
bos_taurus	16_0,22_0,1_0,12_1					5.2809353482212065e-06				2.1468331389214826e-06				1.1422403679164042e-05								2.0314991419265063e-06					1.4520186919599807e-06	5.261758024079943e-06						4.47530373014163e-06		1.0570600496078095e-06	7.4631716240659995e-06			2.1147224506654535e-05				
gorilla_gorilla	16_0,22_0,1_0,12_1					3.459577699082999e-06						2.5115440653147427e-06								1.5160429779558577e-06		6.320692701084969e-07					1.4024435802523479e-06							2.6665774597481818e-06						8.531020168609528e-06				
sus_scrofa	16_0,22_0,1_0,12_1					3.019631515559878e-06																1.8740939692705565e-06			3.840376818946108e-06		1.4124807366851364e-06	6.625538002445523e-06						1.7773257466709358e-06										
homo_sapiens	16_0,22_0,1_0,12_1		1.681305996839038e-06	2.2847759575179294e-06	2.3604534742805565e-06	3.418439540651817e-06				1.4035646218368869e-06		1.0904149010429252e-06		1.3675802313133505e-06				2.8228902541090925e-06		1.510910681144704e-06		9.868411152326998e-07	2.4316742746359735e-06	1.5594984592500343e-06	2.3959655753500603e-06	4.387217072666988e-06	8.102525760024243e-07	2.127788863839693e-06	2.4764936800260855e-06		5.292040570796409e-06	4.749480535055371e-07	4.796247706934228e-06	2.2603059013967417e-06	3.4443195315638313e-06	1.067501925007204e-06		2.5763175167594915e-06	6.512406568673763e-07	4.5491026827763264e-06	8.782358906458481e-07		1.2985124811115477e-06	
rattus_norvegicus	16_0,22_0,1_0,12_1					3.332365447522059e-06				1.753860788267514e-06				4.446409845957085e-06								1.2576444228292387e-06					1.225252448418692e-06	6.335888382364805e-06								6.474107055312977e-07	4.828700034347851e-06			3.567759433548315e-06				
homo_sapiens	16_0,12_1									6.052595725281638e-08															4.463156774719394e-08				8.49873350800666e-08			5.738692844479668e-08						6.20726169973492e-08						
rattus_norvegicus	16_0,12_1													2.460370686336641e-08													8.808334904520072e-09									3.8895835901268834e-08	2.979987527280217e-08							
mus_musculus	16_0,22_0,12_1	1.0797224547508608e-06				1.8592743418504576e-06			5.64059257207662e-07	1.132313212106943e-06	1.3831678936855447e-07	5.881079262452264e-07	1.4025457474990103e-07	4.248066692084512e-06			4.921634634541832e-07	4.495649427181803e-06	6.30853041777102e-07			1.3977685800477717e-06					9.704800398311333e-07	3.0386608460532744e-06					1.2342891229858227e-05			7.960069872669794e-07	2.2764741418288914e-06			6.9230361882710285e-06		5.556994565300466e-06		1.0791846368989228e-06
bos_taurus	16_0,22_0,12_1					4.531136464060871e-06				2.2246446020315165e-06				9.818943026850112e-06								4.5762418706140895e-06					1.933522656771788e-06	4.343577787152905e-06						5.271217265677377e-06		1.953701720538003e-06	5.5207775360543486e-06			1.7789885090269155e-05				
gorilla_gorilla	16_0,22_0,12_1					3.9206626819890965e-06						1.767479404375201e-06								2.127874608345187e-06		8.935221955585163e-07					1.1551820316803516e-06							3.304457091345298e-06						5.24699954205336e-06				
sus_scrofa	16_0,22_0,12_1					4.232837499487914e-06																3.923103375673032e-06			4.309430476221968e-06		2.2524338810235723e-06	7.310389286352152e-06						2.9371866560378856e-06										
homo_sapiens	16_0,22_0,12_1		1.5456798768033052e-06	2.3668954350490417e-06	3.976363135632211e-06	3.914703959026323e-06				2.765080035611207e-06		1.3744525013889288e-06		1.146794000771101e-06				2.5843306071481297e-06		2.656400560422389e-06		1.9054806295246017e-06	5.0856126030967576e-06	1.7676400589517998e-06	2.589689696406098e-06	2.151753773279522e-06	7.66411647069682e-07	2.072787469940875e-06	1.669537406219505e-06		5.674350492504087e-06	1.5077192016118268e-06	4.773965636147698e-06	4.475543856624995e-06	2.1751546050552646e-06	3.310904880937772e-06		2.561226211395384e-06	1.3024813137347527e-06	3.251699147703819e-06	1.1598829804990485e-06		1.3738900942183329e-06	
rattus_norvegicus	16_0,22_0,12_1					2.2378851964797703e-06				1.8515000111181172e-06				5.839688086724171e-06								1.4900106602353098e-06					1.1304871863126948e-06	5.373951025043705e-06								9.293496880593725e-07	3.87212588326782e-06			4.4073844995812104e-06				
homo_sapiens	16_0,12_1									6.052595725281638e-08															4.463156774719394e-08				8.49873350800666e-08			5.738692844479668e-08						6.20726169973492e-08						
rattus_norvegicus	16_0,12_1													2.460370686336641e-08													8.808334904520072e-09									3.8895835901268834e-08	2.979987527280217e-08							
gorilla_gorilla	11_2,11_3,11_4,18_0											9.17266111809997e-07								8.229947594617516e-07		3.185208074900144e-07												9.428996540668754e-07						1.8320601993746856e-06				
homo_sapiens	11_2,11_3,11_4,18_0				1.2183422246788134e-06					7.967141687946414e-07		2.735288501673094e-07		1.6847557153396918e-07						5.560581555898777e-07		4.885888514325391e-07	9.225860533022733e-07				9.349550587204382e-08				4.5965547975069104e-07	3.605338098631454e-07		8.236373020862831e-07	2.3573239439590932e-07			3.2064885360581985e-07		6.983202740960585e-07				
mus_musculus	11_2,11_3,11_4,18_0	7.795751683012039e-07				6.081804298659992e-07				4.28238245830151e-07		2.703699117234517e-07						4.2527115377048075e-07				3.286416807479738e-07					2.173400512260198e-07	5.839720749044579e-07					1.1941816059621555e-06			6.462240283848866e-08	3.141783861961964e-07			2.2621567741957906e-06		5.233152673080537e-07		9.443984918723983e-08
gorilla_gorilla	11_2,18_0					3.311603679167929e-06						1.156258776726778e-07								3.248663524191125e-07		2.891743580646745e-07					9.041375270270173e-07							3.231100621008994e-07						4.193796151409999e-07				
sus_scrofa	11_2,18_0					8.733552801661112e-07																1.8990818888608306e-06			7.035804859137909e-07		7.50258122209989e-07	7.07148767568705e-06						1.482718309858248e-07										
mus_musculus	11_2,18_0	3.9033924025617033e-07				1.6713764048238613e-06		6.662227402474152e-08	2.2562370288306474e-07	2.9019560612732683e-07	4.255901211340139e-08	4.90004986920023e-07	5.9054557789432e-08	2.795950094761615e-06			0.0	2.1595566886434867e-06	2.421456119952512e-07			1.6450033053572145e-06					1.21643643464667e-06	4.991565536466574e-06					4.1295876267928915e-06			1.5129458885875956e-06	4.357946559840031e-06			2.8318563889419843e-07		6.534826974251652e-06		1.525595445607847e-06
homo_sapiens	11_2,18_0		9.504120609795003e-07	7.27587529303627e-07	1.1645549429865334e-06	2.6650876315128156e-06				1.6565661987429452e-07		1.4963750472754853e-07		1.103325677541981e-06				1.3575510084275885e-06		2.270999068676254e-07		7.042705564138842e-07	2.0172731654967066e-06	2.415929261235681e-06	2.547481538274889e-06	2.169607043501199e-06	7.124155427990317e-07	1.3821645668272756e-06	1.197740138644919e-06		7.94917874167841e-07	9.239370920166829e-07	2.867906739084121e-06	3.0047269651706695e-07	1.423998901635873e-06	1.1059167253999728e-06		2.527451820850348e-06	8.683208758231681e-07	9.78007016505992e-07	8.431358106843563e-07		1.3912461523895998e-06	
