,path,gastrula,Species,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adrenal tissue,multi-cellular organism,muscle of leg,adipose tissue,adrenal gland,heart left ventricle,intestine,leukocyte,lymph node,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland,blastula,egg cell,embryo,mesonephros
50,"16_0,18_2,22_0,1_0,12_1",,sus_scrofa,,,,0.09801031687546057,,,,,,,0.07903152225667917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"16_0,22_0,1_0,12_1",,sus_scrofa,0.41635910602232057,,,0.2210759027266028,0.3854061783213423,0.47542857142857137,,,,0.4712230215827339,0.2961149177179814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"16_0,22_0,12_1",,sus_scrofa,0.5836408939776795,,,0.4627855563743552,0.6145938216786578,0.5245714285714286,,,,0.5287769784172662,0.4893558688406492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"16_0,18_2,22_0,12_1",,sus_scrofa,,,,0.21812822402358142,,,,,,,0.13549769118469027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"21_0,11_1,11_2,18_0",,bos_taurus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"21_0,11_1,11_2,18_0",,gorilla_gorilla,0.6581019522869673,,,0.15099736120009655,0.735617209909179,,,,0.040969077403412664,,0.0844054553749949,0.05223876954978359,,,0.08210526315789475,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"21_0,11_3,11_4,18_0",,gorilla_gorilla,0.3418980477130328,,,0.596498709089135,0.26438279009082094,,,,0.6879081844598173,,0.6075398002709772,0.6241515168216433,,,0.6063157894736841,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"21_0,11_1,11_2,11_3,11_4,18_0",,gorilla_gorilla,,,,0.25250392971076846,,,,,0.27112273813677,,0.30805474435402785,0.3236097136285731,,,0.31157894736842107,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"21_0,11_1,11_2,18_0",,homo_sapiens,0.6226002100722048,0.0621479064611642,0.5646901933429072,0.26754653192162475,0.5904566384724798,0.5768168081972669,0.3607956818647191,,0.2415732750605389,0.613350475154894,0.09029123384605439,0.15614954356328095,0.7603700022688674,0.7709096926034321,0.16483008260056745,,,,,,,,,,0.17932805982165384,0.37047664317624507,0.39845918640920885,0.48509058672330957,0.4354230715154811,0.2969594938969934,0.814073413418802,0.5152213139879641,0.456178524512029,0.5739397377714683,0.581493653669406,0.5714285714285714,0.6875957729941865,0.6624354672605226,,,,
59,"21_0,11_3,11_4,18_0",,homo_sapiens,0.37739978992779516,0.6548011731069919,0.14602650020900496,0.46611847080345353,0.1407149457216672,0.42318319180273317,0.6392043181352809,,0.5169238818284331,0.38664952484510595,0.6291794430189536,0.542648722730437,0.2396299977311327,0.22909030739656783,0.5519908110476348,,,,,,,,,,0.5638672795665148,0.356753458868527,0.3243740740685569,0.5149094132766904,0.5645769284845189,0.46087305163010933,0.18592658658119796,0.48477868601203594,0.543821475487971,0.12082397796398556,0.16593681296626497,0.4285714285714286,0.31240422700581355,0.3375645327394774,,,,
60,"21_0,11_1,11_2,11_3,11_4,18_0",,homo_sapiens,,0.2830509204318439,0.289283306448088,0.2663349972749217,0.268828415805853,,,,0.241502843111028,,0.280529323134992,0.3012017337062821,,,0.2831791063517978,,,,,,,,,,0.2568046606118312,0.27276989795522794,0.27716673952223425,,,0.24216745447289734,,,,0.3052362842645462,0.25256953336432914,,,,,,,
61,"21_0,11_1,11_2,18_0",,mus_musculus,0.37835635289346886,0.20179051336906756,0.5466581195027597,0.5099992294708725,0.5164387232695203,0.588768224892099,0.6976056026177889,0.6464472645141379,0.03222583993348201,,,0.34866595599339506,0.5056666568502781,0.40526731070655536,,0.21674142199106244,,0.6874999999999999,1.0,0.37500000000000006,0.11111111111111112,0.84375,0.6301473162730802,0.6902894556930625,,,,,,,,,,,,,,,,,,
62,"21_0,11_3,11_4,18_0",,mus_musculus,0.36001610207111095,0.481755196270539,0.4533418804972404,0.23650198927999036,0.24911753366591433,0.18279382286564722,0.06346565017189208,0.15418644194021452,0.6753511697955719,,,0.35159301226287165,0.25982518822472767,0.352219045959806,,0.44419068528888694,,0.31250000000000006,,0.625,0.888888888888889,0.15625000000000006,0.13822730443061126,0.07756581883741014,,,,,,,,,,,,,,,,,,
63,"21_0,11_1,11_2,11_3,11_4,18_0",,mus_musculus,0.2616275450354201,0.3164542903603935,,0.25349878124913705,0.2344437430645653,0.22843795224225386,0.23892874721031895,0.19936629354564753,0.29242299027094604,,,0.29974103174373334,0.23450815492499408,0.24251364333363856,,0.33906789272005067,,,,,,,0.2316253792963086,0.23214472546952739,,,,,,,,,,,,,,,,,,
64,"21_0,11_1,11_2,18_0",,rattus_norvegicus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"21_0,11_1,11_2,18_0",,sus_scrofa,0.27972212943486285,,,0.5806451612903225,0.5978901238053378,0.5968586387434555,,,,0.2346938775510203,0.07888053666469931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"21_0,11_3,11_4,18_0",,sus_scrofa,0.7202778705651371,,,0.4193548387096775,0.4021098761946622,0.4031413612565445,,,,0.7653061224489798,0.9211194633353007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
